sample,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top,adj_bottom,adj_left,adj_right,of_video_length,no_video_length,intensity_floor,intensity_ceiling,area_floor,area_ceiling
20190615_1423_icab_icab_L,20190615,1423,L,2263,21344,21772,40486,30,5,10,5,10,19081,18714,0,155,80,200
20190615_1452_icab_hdr_L,20190615,1452,L,2189,20910,21517,40238,30,5,10,5,5,18721,18721,0,155,80,200
20190615_1518_icab_kaga_L,20190615,1518,L,2030,20730,21284,40721,30,5,10,5,10,18700,19437,0,155,80,200
20190615_1549_icab_hni_L,20190615,1549,L,1863,20486,21045,41095,30,5,10,5,10,18623,20050,0,155,80,200
20190615_1616_icab_hni_L,20190615,1616,L,2649,20946,21668,39845,30,5,10,5,7,18297,18177,0,155,80,200
20190615_1649_icab_icab_L,20190615,1649,L,2085,20550,21086,39432,30,5,13,5,7,18465,18346,0,155,80,200
20190615_1714_icab_icab_L,20190615,1714,L,1778,20147,20799,39227,30,5,10,5,6,18369,18428,0,155,80,200
20190616_0923_icab_icab_L,20190616,923,L,2625,20933,21543,40400,30,5,10,5,10,18308,18857,0,155,80,200
20190616_0948_icab_hdr_L,20190616,948,L,1772,20073,20723,39083,30,5,10,5,5,18301,18360,0,155,80,200
20190616_1017_icab_kaga_R,20190616,1017,R,1819,20118,20646,38828,30,0,0,5,10,18299,18182,0,155,80,200
20190616_1045_icab_icab_L,20190616,1045,L,2093,20504,20982,39572,30,5,10,5,10,18411,18590,0,155,80,200
20190616_1110_icab_icab_L,20190616,1110,L,1581,19959,20486,38746,30,5,10,5,10,18378,18260,0,155,80,200
20190616_1135_icab_kaga_R,20190616,1135,R,1874,20423,21088,40000,30,0,5,5,10,18549,18912,0,155,80,200
20190616_1210_icab_icab_R,20190616,1210,R,2108,20656,21379,39866,30,0,0,5,10,18548,18487,0,155,80,200
20190616_1227_icab_kaga_R,20190616,1227,R,2277,21089,21509,39661,30,0,0,5,10,18812,18152,0,155,80,200
20190616_1256_icab_kaga_L,20190616,1256,L,1737,20605,21383,39651,30,5,10,5,7,18868,18268,0,155,80,200
20190616_1325_icab_hni_R,20190616,1325,R,2144,20484,21139,39418,30,0,0,5,3,18340,18279,0,155,80,200
20190616_1351_icab_ho5_L,20190616,1351,L,2480,20819,21341,43203,30,5,10,5,5,18339,21862,0,155,80,200
20190616_1417_icab_hni_L,20190616,1417,L,1959,20299,20952,39292,30,5,10,5,5,18340,18340,0,155,80,200
20190616_1441_icab_hni_L,20190616,1441,L,2215,20647,21305,39617,30,5,10,0,5,18432,18312,0,155,80,200
20190616_1506_icab_hni_L,20190616,1506,L,1804,20624,21165,39803,30,5,10,0,5,18820,18638,0,155,80,200
20190616_1531_icab_hdr_L,20190616,1531,L,2421,21057,21662,40056,30,5,10,5,10,18636,18394,0,155,80,200
20190616_1556_icab_hdr_L,20190616,1556,L,2071,21015,21746,40323,30,5,10,5,0,18944,18577,0,155,80,200
20190616_1622_icab_ho5_L,20190616,1622,L,2286,20929,21531,39813,30,5,10,5,10,18643,18282,0,155,80,200
20190616_1651_icab_icab_L,20190616,1651,L,1980,21029,21647,40943,30,5,10,5,0,19049,19296,0,155,80,200
20190616_1717_icab_icab_L,20190616,1717,L,2509,20787,21265,39543,30,5,10,5,10,18278,18278,0,155,80,200
